match_id,season,date,home_team,away_team,leader,leader_team,opponent_team,minute_reached_plus2,score_at_event_leader,score_at_event_opponent,final_home_goals,final_away_goals,final_leader_goals,final_opponent_goals,result_for_leader,leader_is_home
14559,2020,2020-12-16,Leicester,Everton,away,Everton,Leicester,71,2,0,0,2,2,0,W,False
14560,2020,2020-12-17,Sheffield United,Manchester United,away,Manchester United,Sheffield United,50,3,1,2,3,3,2,W,False
14566,2020,2020-12-21,Burnley,Wolverhampton Wanderers,home,Burnley,Wolverhampton Wanderers,50,2,0,2,1,2,1,W,True
14567,2020,2020-12-21,Chelsea,West Ham,home,Chelsea,West Ham,77,2,0,3,0,3,0,W,True
14568,2020,2020-12-19,Crystal Palace,Liverpool,away,Liverpool,Crystal Palace,34,2,0,0,7,7,0,W,False
14570,2020,2020-12-20,Manchester United,Leeds,home,Manchester United,Leeds,2,2,0,6,2,6,2,W,True
14573,2020,2020-12-20,Tottenham,Leicester,away,Leicester,Tottenham,58,2,0,0,2,2,0,W,False
14574,2020,2020-12-20,West Bromwich Albion,Aston Villa,away,Aston Villa,West Bromwich Albion,83,2,0,0,3,3,0,W,False
14575,2020,2020-12-26,Arsenal,Chelsea,home,Arsenal,Chelsea,43,2,0,3,1,3,1,W,True
14576,2020,2020-12-26,Aston Villa,Crystal Palace,home,Aston Villa,Crystal Palace,65,2,0,3,0,3,0,W,True
14581,2020,2020-12-26,Manchester City,Newcastle United,home,Manchester City,Newcastle United,54,2,0,2,0,2,0,W,True
14590,2020,2020-12-29,West Bromwich Albion,Leeds,away,Leeds,West Bromwich Albion,30,2,0,0,5,5,0,W,False
14593,2020,2021-02-17,Everton,Manchester City,away,Manchester City,Everton,76,3,1,1,3,3,1,W,False
14597,2020,2021-01-03,Newcastle United,Leicester,away,Leicester,Newcastle United,71,2,0,1,2,2,1,W,False
14599,2020,2021-01-02,Tottenham,Leeds,home,Tottenham,Leeds,42,2,0,3,0,3,0,W,True
14600,2020,2021-01-02,West Bromwich Albion,Arsenal,away,Arsenal,West Bromwich Albion,27,2,0,0,4,4,0,W,False
14601,2020,2021-01-02,Brighton,Wolverhampton Wanderers,away,Wolverhampton Wanderers,Brighton,43,3,1,3,3,3,3,D,False
14603,2020,2021-01-03,Chelsea,Manchester City,away,Manchester City,Chelsea,20,2,0,1,3,3,1,W,False
14604,2020,2021-01-02,Crystal Palace,Sheffield United,home,Crystal Palace,Sheffield United,50,2,0,2,0,2,0,W,True
14606,2020,2021-03-21,Aston Villa,Tottenham,away,Tottenham,Aston Villa,67,2,0,0,2,2,0,W,False
14608,2020,2021-02-23,Leeds,Southampton,home,Leeds,Southampton,77,2,0,3,0,3,0,W,True
14609,2020,2021-01-19,Leicester,Chelsea,home,Leicester,Chelsea,40,2,0,2,0,2,0,W,True
14615,2020,2021-01-18,Arsenal,Newcastle United,home,Arsenal,Newcastle United,59,2,0,3,0,3,0,W,True
14619,2020,2021-01-16,Leicester,Southampton,home,Leicester,Southampton,94,2,0,2,0,2,0,W,True
14621,2020,2021-01-17,Manchester City,Crystal Palace,home,Manchester City,Crystal Palace,55,2,0,4,0,4,0,W,True
14622,2020,2021-01-17,Sheffield United,Tottenham,away,Tottenham,Sheffield United,39,2,0,1,3,3,1,W,False
14629,2020,2021-01-26,West Bromwich Albion,Manchester City,away,Manchester City,West Bromwich Albion,19,2,0,0,5,5,0,W,False
14632,2020,2021-01-26,Southampton,Arsenal,away,Arsenal,Southampton,71,3,1,1,3,3,1,W,False
14633,2020,2021-01-28,Tottenham,Liverpool,away,Liverpool,Tottenham,48,2,0,1,3,3,1,W,False
14634,2020,2021-01-26,Crystal Palace,West Ham,away,West Ham,Crystal Palace,64,3,1,2,3,3,2,W,False
14637,2020,2021-01-31,Chelsea,Burnley,home,Chelsea,Burnley,83,2,0,2,0,2,0,W,True
14639,2020,2021-01-31,West Ham,Liverpool,away,Liverpool,West Ham,67,2,0,1,3,3,1,W,False
14643,2020,2021-01-31,Leicester,Leeds,away,Leeds,Leicester,83,3,1,1,3,3,1,W,False
14644,2020,2021-01-30,Everton,Newcastle United,away,Newcastle United,Everton,92,2,0,0,2,2,0,W,False
14645,2020,2021-02-03,Aston Villa,West Ham,away,West Ham,Aston Villa,55,2,0,1,3,3,1,W,False
14646,2020,2021-02-03,Burnley,Manchester City,away,Manchester City,Burnley,37,2,0,0,2,2,0,W,False
14647,2020,2021-02-03,Fulham,Leicester,away,Leicester,Fulham,43,2,0,0,2,2,0,W,False
14648,2020,2021-02-03,Leeds,Everton,away,Everton,Leeds,40,2,0,1,2,2,1,W,False
14651,2020,2021-02-02,Manchester United,Southampton,home,Manchester United,Southampton,24,2,0,9,0,9,0,W,True
14658,2020,2021-02-08,Leeds,Crystal Palace,home,Leeds,Crystal Palace,51,2,0,2,0,2,0,W,True
14659,2020,2021-02-07,Liverpool,Manchester City,away,Manchester City,Liverpool,75,3,1,1,4,4,1,W,False
14660,2020,2021-02-06,Manchester United,Everton,home,Manchester United,Everton,44,2,0,3,3,3,3,D,True
14661,2020,2021-02-06,Newcastle United,Southampton,home,Newcastle United,Southampton,25,2,0,3,2,3,2,W,True
14663,2020,2021-02-07,Tottenham,West Bromwich Albion,home,Tottenham,West Bromwich Albion,57,2,0,2,0,2,0,W,True
14665,2020,2021-02-14,Arsenal,Leeds,home,Arsenal,Leeds,40,2,0,4,2,4,2,W,True
14667,2020,2021-02-15,Chelsea,Newcastle United,home,Chelsea,Newcastle United,38,2,0,2,0,2,0,W,True
14668,2020,2021-02-13,Crystal Palace,Burnley,away,Burnley,Crystal Palace,9,2,0,0,3,3,0,W,False
14669,2020,2021-02-14,Everton,Fulham,away,Fulham,Everton,64,2,0,0,2,2,0,W,False
14670,2020,2021-02-13,Leicester,Liverpool,home,Leicester,Liverpool,84,3,1,3,1,3,1,W,True
14671,2020,2021-02-13,Manchester City,Tottenham,home,Manchester City,Tottenham,49,2,0,3,0,3,0,W,True
14674,2020,2021-02-15,West Ham,Sheffield United,home,West Ham,Sheffield United,57,2,0,3,0,3,0,W,True
14676,2020,2021-02-21,Aston Villa,Leicester,away,Leicester,Aston Villa,22,2,0,1,2,2,1,W,False
14680,2020,2021-02-20,Liverpool,Everton,away,Everton,Liverpool,82,2,0,0,2,2,0,W,False
14681,2020,2021-02-21,Manchester United,Newcastle United,home,Manchester United,Newcastle United,74,3,1,3,1,3,1,W,True
14683,2020,2021-02-21,West Ham,Tottenham,home,West Ham,Tottenham,46,2,0,2,1,2,1,W,True
14690,2020,2021-02-28,Leicester,Arsenal,away,Arsenal,Leicester,51,3,1,1,3,3,1,W,False
14693,2020,2021-02-28,Tottenham,Burnley,home,Tottenham,Burnley,14,2,0,4,0,4,0,W,True
14694,2020,2021-02-28,Sheffield United,Liverpool,away,Liverpool,Sheffield United,63,2,0,0,2,2,0,W,False
