match_id,season,date,home_team,away_team,leader,leader_team,opponent_team,minute_reached_plus2,score_at_event_leader,score_at_event_opponent,final_home_goals,final_away_goals,final_leader_goals,final_opponent_goals,result_for_leader,leader_is_home,leader_team_norm,opponent_team_norm,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
11917,2019,2020-06-17,Manchester City,Arsenal,home,Manchester City,Arsenal,50,2,0,3,0,3,0,W,True,Manchester City,Arsenal,0.0,1.0,1.35,8.11,5.5,0.7407407407407407,Strong Favorite
11921,2019,2020-02-29,Watford,Liverpool,home,Watford,Liverpool,59,2,0,3,0,3,0,W,True,Watford,Liverpool,0.0,0.0,7.52,1.42,4.84,0.13297872340425532,Underdog
11922,2019,2020-02-29,West Ham,Southampton,home,West Ham,Southampton,53,3,1,3,1,3,1,W,True,West Ham United,Southampton,0.0,0.0,2.71,2.55,3.54,0.36900369003690037,Underdog
11925,2019,2020-03-08,Chelsea,Everton,home,Chelsea,Everton,20,2,0,4,0,4,0,W,True,Chelsea,Everton,0.0,0.0,1.87,4.2,3.74,0.53475935828877,Moderate
11927,2019,2020-03-09,Leicester,Aston Villa,home,Leicester,Aston Villa,62,2,0,4,0,4,0,W,True,Leicester City,Aston Villa,0.0,0.0,1.38,8.05,5.12,0.7246376811594204,Strong Favorite
11932,2019,2020-03-08,Manchester United,Manchester City,home,Manchester United,Manchester City,95,2,0,2,0,2,0,W,True,Manchester United,Manchester City,0.0,0.0,5.04,1.64,4.28,0.1984126984126984,Underdog
11934,2019,2020-06-20,West Ham,Wolverhampton Wanderers,away,Wolverhampton Wanderers,West Ham,83,2,0,0,2,2,0,W,False,Wolverhampton Wanderers,West Ham United,0.0,0.0,2.15,3.57,3.36,0.46511627906976744,Moderate
11937,2019,2020-06-19,Norwich,Southampton,away,Southampton,Norwich,53,2,0,0,3,3,0,W,False,Southampton,Norwich City,0.0,0.0,2.53,2.84,3.4,0.3952569169960475,Underdog
11938,2019,2020-06-21,Newcastle United,Sheffield United,home,Newcastle United,Sheffield United,68,2,0,3,0,3,0,W,True,Newcastle United,Sheffield United,0.0,1.0,3.31,2.38,3.1,0.3021148036253776,Underdog
11939,2019,2020-06-22,Manchester City,Burnley,home,Manchester City,Burnley,42,2,0,5,0,5,0,W,True,Manchester City,Burnley,0.0,0.0,1.13,19.85,8.97,0.8849557522123894,Strong Favorite
11942,2019,2020-06-20,Bournemouth,Crystal Palace,away,Crystal Palace,Bournemouth,22,2,0,0,2,2,0,W,False,Crystal Palace,AFC Bournemouth,0.0,0.0,2.98,2.51,3.24,0.33557046979865773,Underdog
11944,2019,2020-06-23,Tottenham,West Ham,home,Tottenham,West Ham,81,2,0,2,0,2,0,W,True,Tottenham,West Ham United,0.0,0.0,1.67,5.21,4.01,0.5988023952095809,Moderate
11950,2019,2020-06-24,Manchester United,Sheffield United,home,Manchester United,Sheffield United,43,2,0,3,0,3,0,W,True,Manchester United,Sheffield United,0.0,0.0,1.43,8.62,4.39,0.6993006993006994,Strong Favorite
11951,2019,2020-06-24,Liverpool,Crystal Palace,home,Liverpool,Crystal Palace,43,2,0,4,0,4,0,W,True,Liverpool,Crystal Palace,0.0,0.0,1.24,13.09,6.13,0.8064516129032259,Strong Favorite
11952,2019,2020-06-25,Southampton,Arsenal,away,Arsenal,Southampton,86,2,0,0,2,2,0,W,False,Arsenal,Southampton,0.0,1.0,2.65,2.64,3.47,0.37735849056603776,Underdog
11953,2019,2020-07-01,Arsenal,Norwich,home,Arsenal,Norwich,36,2,0,4,0,4,0,W,True,Arsenal,Norwich City,0.0,0.0,1.44,7.23,4.69,0.6944444444444444,Strong Favorite
11955,2019,2020-07-01,Bournemouth,Newcastle United,away,Newcastle United,Bournemouth,29,2,0,1,4,4,1,W,False,Newcastle United,AFC Bournemouth,0.0,0.0,3.21,2.4,3.16,0.3115264797507788,Underdog
11956,2019,2020-06-30,Brighton,Manchester United,away,Manchester United,Brighton,28,2,0,0,3,3,0,W,False,Manchester United,Brighton,0.0,0.0,1.61,6.31,3.85,0.6211180124223602,Moderate
11958,2019,2020-07-01,Everton,Leicester,home,Everton,Leicester,15,2,0,2,1,2,1,W,True,Everton,Leicester City,0.0,0.0,2.54,2.9,3.28,0.39370078740157477,Underdog
11959,2019,2020-07-02,Manchester City,Liverpool,home,Manchester City,Liverpool,34,2,0,4,0,4,0,W,True,Manchester City,Liverpool,0.0,0.0,2.07,3.32,3.85,0.48309178743961356,Moderate
11960,2019,2020-07-02,Sheffield United,Tottenham,home,Sheffield United,Tottenham,68,2,0,3,1,3,1,W,True,Sheffield United,Tottenham,0.0,0.0,4.1,1.98,3.41,0.24390243902439027,Underdog
11961,2019,2020-06-28,Watford,Southampton,away,Southampton,Watford,69,2,0,1,3,3,1,W,False,Southampton,Watford,0.0,0.0,2.92,2.49,3.32,0.3424657534246575,Underdog
11964,2019,2020-07-04,Chelsea,Watford,home,Chelsea,Watford,42,2,0,3,0,3,0,W,True,Chelsea,Watford,0.0,0.0,1.43,7.96,4.61,0.6993006993006994,Strong Favorite
11965,2019,2020-07-04,Leicester,Crystal Palace,home,Leicester,Crystal Palace,76,2,0,3,0,3,0,W,True,Leicester City,Crystal Palace,0.0,0.0,1.68,5.84,3.63,0.5952380952380952,Moderate
11966,2019,2020-07-05,Liverpool,Aston Villa,home,Liverpool,Aston Villa,88,2,0,2,0,2,0,W,True,Liverpool,Aston Villa,0.0,0.0,1.35,8.4,5.45,0.7407407407407407,Strong Favorite
11967,2019,2020-07-04,Manchester United,Bournemouth,home,Manchester United,Bournemouth,46,3,1,5,2,5,2,W,True,Manchester United,AFC Bournemouth,0.0,0.0,1.17,17.41,7.46,0.8547008547008548,Strong Favorite
11972,2019,2020-07-04,Wolverhampton Wanderers,Arsenal,away,Arsenal,Wolverhampton Wanderers,85,2,0,0,2,2,0,W,False,Arsenal,Wolverhampton Wanderers,0.0,0.0,3.32,2.27,3.3,0.30120481927710846,Underdog
11974,2019,2020-07-09,Aston Villa,Manchester United,away,Manchester United,Aston Villa,49,2,0,0,3,3,0,W,False,Manchester United,Aston Villa,0.0,0.0,1.35,9.26,5.15,0.7407407407407407,Strong Favorite
11976,2019,2020-07-08,Brighton,Liverpool,away,Liverpool,Brighton,7,2,0,1,3,3,1,W,False,Liverpool,Brighton,0.0,0.0,1.56,5.99,4.26,0.641025641025641,Strong Favorite
11977,2019,2020-07-07,Crystal Palace,Chelsea,away,Chelsea,Crystal Palace,26,2,0,2,3,3,2,W,False,Chelsea,Crystal Palace,0.0,0.0,1.43,8.43,4.5,0.6993006993006994,Strong Favorite
11979,2019,2020-07-08,Manchester City,Newcastle United,home,Manchester City,Newcastle United,20,2,0,5,0,5,0,W,True,Manchester City,Newcastle United,0.0,0.0,1.13,22.2,9.15,0.8849557522123894,Strong Favorite
