event_id,match_key,season_key,leader_team_key,opponent_team_key,bucket_key,minute_reached_plus2,stoppage_flag,leader_is_home,score_at_event_leader,score_at_event_opponent,score_at_event_display,final_leader_goals,final_opponent_goals,result_for_leader,is_win,is_draw,is_loss,points_earned,points_dropped,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
4714_Swansea City,4714,2014-2015,Swansea City,Leicester City,46-60,56,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.95,4.2,3.7,0.5128205128205129,Moderate
4716_Everton,4716,2014-2015,Everton,Burnley,76-90+,85,False,False,3,1,3-1,3,1,W,1,0,0,3,0,0,0,1.83,4.75,3.75,0.5464480874316939,Moderate
4718_Queens Park Rangers,4718,2014-2015,Queens Park Rangers,Aston Villa,61-75,68,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,2.38,3.4,3.25,0.4201680672268907,Moderate
4720_Chelsea,4720,2014-2015,Chelsea,Swansea City,61-75,66,False,True,3,1,3-1,4,2,W,1,0,0,3,0,0,0,1.3,12.0,5.75,0.7692307692307692,Strong Favorite
4722_Southampton,4722,2014-2015,Southampton,Newcastle United,16-30,18,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.8,5.0,3.75,0.5555555555555556,Moderate
4725_Everton,4725,2014-2015,Everton,West Bromwich Albion,61-75,65,False,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,2.2,3.5,3.5,0.4545454545454545,Moderate
4727_Manchester United,4727,2014-2015,Manchester United,Queens Park Rangers,31-45+,35,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.29,12.0,6.25,0.7751937984496123,Strong Favorite
4731_Arsenal,4731,2014-2015,Arsenal,Aston Villa,31-45+,33,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.85,4.75,3.6,0.5405405405405405,Moderate
4733_Hull City,4733,2014-2015,Hull City,Newcastle United,61-75,67,False,False,2,0,2-0,2,2,D,0,1,0,1,2,0,0,3.75,2.2,3.3,0.2666666666666666,Underdog
4734_West Ham United,4734,2014-2015,West Ham United,Liverpool,0-15,6,False,True,2,0,2-0,3,1,W,1,0,0,3,0,0,0,4.5,1.85,3.8,0.2222222222222222,Underdog
4736_Manchester United,4736,2014-2015,Manchester United,Leicester City,0-15,15,False,False,2,0,2-0,3,5,L,0,0,1,0,3,1,0,1.67,5.5,4.2,0.5988023952095809,Moderate
4736_Leicester City,4736,2014-2015,Leicester City,Manchester United,76-90+,82,False,True,5,3,5-3,5,3,W,1,0,0,3,0,0,1,5.5,1.67,4.2,0.1818181818181818,Underdog
4738_Crystal Palace,4738,2014-2015,Crystal Palace,Everton,61-75,68,False,False,3,1,3-1,3,2,W,1,0,0,3,0,0,0,9.0,1.4,5.0,0.1111111111111111,Underdog
4740_Manchester United,4740,2014-2015,Manchester United,West Ham United,16-30,21,False,True,2,0,2-0,2,1,W,1,0,0,3,0,1,0,1.4,8.0,5.5,0.7142857142857143,Strong Favorite
4742_Chelsea,4742,2014-2015,Chelsea,Aston Villa,46-60,58,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.22,16.0,7.0,0.819672131147541,Strong Favorite
4743_Crystal Palace,4743,2014-2015,Crystal Palace,Leicester City,46-60,53,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,2.63,2.88,3.4,0.3802281368821293,Underdog
4744_Manchester City,4744,2014-2015,Manchester City,Hull City,0-15,10,False,False,2,0,2-0,4,2,W,1,0,0,3,0,0,0,1.57,6.5,4.2,0.6369426751592356,Strong Favorite
4747_West Bromwich Albion,4747,2014-2015,West Bromwich Albion,Burnley,31-45+,45,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,2.0,4.2,3.5,0.5,Moderate
4757_Manchester City,4757,2014-2015,Manchester City,Newcastle United,76-90+,91,True,False,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.67,5.25,4.33,0.5988023952095809,Moderate
4758_Chelsea,4758,2014-2015,Chelsea,Burnley,31-45+,33,False,False,3,1,3-1,3,1,W,1,0,0,3,0,0,0,1.4,9.0,5.0,0.7142857142857143,Strong Favorite
4760_Chelsea,4760,2014-2015,Chelsea,Leicester City,76-90+,76,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,1.2,17.0,7.5,0.8333333333333334,Strong Favorite
4761_West Ham United,4761,2014-2015,West Ham United,Crystal Palace,31-45+,36,False,False,2,0,2-0,3,1,W,1,0,0,3,0,0,0,3.1,2.5,3.3,0.3225806451612903,Underdog
4764_Everton,4764,2014-2015,Everton,Arsenal,31-45+,44,False,True,2,0,2-0,2,2,D,0,1,0,1,2,0,0,2.8,2.7,3.4,0.3571428571428571,Underdog
4766_Tottenham,4766,2014-2015,Tottenham,Queens Park Rangers,16-30,29,False,True,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.45,8.0,4.75,0.6896551724137931,Strong Favorite
4768_Manchester City,4768,2014-2015,Manchester City,Liverpool,46-60,54,False,True,2,0,2-0,3,1,W,1,0,0,3,0,0,0,1.85,4.33,4.0,0.5405405405405405,Moderate
4773_Swansea City,4773,2014-2015,Swansea City,West Bromwich Albion,16-30,23,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.85,4.75,3.6,0.5405405405405405,Moderate
4774_Southampton,4774,2014-2015,Southampton,West Ham United,76-90+,82,False,False,3,1,3-1,3,1,W,1,0,0,3,0,0,0,2.7,2.8,3.4,0.3703703703703703,Underdog
4775_Chelsea,4775,2014-2015,Chelsea,Everton,0-15,2,False,False,2,0,2-0,6,3,W,1,0,0,3,0,0,0,2.2,3.75,3.3,0.4545454545454545,Moderate
4776_Aston Villa,4776,2014-2015,Aston Villa,Hull City,31-45+,35,False,True,2,0,2-0,2,1,W,1,0,0,3,0,0,0,2.3,3.5,3.3,0.4347826086956522,Moderate
4777_Liverpool,4777,2014-2015,Liverpool,Tottenham,31-45+,48,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,2.7,2.7,3.5,0.3703703703703703,Underdog
7123_Burnley,7123,2017-2018,Burnley,Chelsea,31-45+,38,False,False,2,0,2-0,3,2,W,1,0,0,3,0,0,2,15.0,1.25,6.5,0.0666666666666666,Underdog
7124_Huddersfield,7124,2017-2018,Huddersfield,Crystal Palace,16-30,25,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,5.0,1.83,3.6,0.2,Underdog
